id,label
0,5
1,3
2,6
3,6
4,4
5,4
6,5
7,6
8,2
9,3
10,2
11,3
12,6
13,4
14,3
15,0
16,0
17,0
18,6
19,2
20,3
21,3
22,2
23,3
24,2
25,3
26,3
27,6
28,4
29,5
30,6
31,3
32,4
33,3
34,6
35,2
36,4
37,6
38,3
39,4
40,0
41,3
42,4
43,2
44,5
45,3
46,0
47,4
48,6
49,3
50,3
51,4
52,5
53,6
54,3
55,0
56,0
57,6
58,3
59,3
60,0
61,3
62,3
63,6
64,4
65,4
66,2
67,3
68,3
69,3
70,2
71,6
72,5
73,4
74,3
75,2
76,0
77,3
78,6
79,6
80,6
81,3
82,2
83,3
84,4
85,0
86,2
87,0
88,0
89,3
90,6
91,3
92,5
93,5
94,6
95,3
96,2
97,3
98,0
99,2
100,3
101,0
102,4
103,4
104,4
105,3
106,2
107,4
108,3
109,3
110,3
111,6
112,5
113,4
114,6
115,0
116,0
117,6
118,6
119,3
120,6
121,4
122,4
123,3
124,1
125,5
126,5
127,3
128,5
129,3
130,4
131,3
132,0
133,3
134,4
135,2
136,4
137,3
138,0
139,2
140,6
141,3
142,5
143,5
144,4
145,4
146,6
147,2
148,6
149,6
150,5
151,4
152,6
153,5
154,4
155,5
156,3
157,6
158,5
159,3
160,0
161,4
162,3
163,3
164,6
165,4
166,5
167,0
168,5
169,6
170,0
171,4
172,5
173,3
174,1
175,5
176,0
177,3
178,5
179,3
180,6
181,3
182,3
183,6
184,3
185,3
186,6
187,3
188,2
189,6
190,3
191,3
192,4
193,0
194,3
195,4
196,3
197,6
198,2
199,0
200,2
201,0
202,6
203,3
204,2
205,4
206,3
207,3
208,6
209,4
210,4
211,0
212,4
213,0
214,3
215,2
216,5
217,2
218,6
219,4
220,4
221,6
222,4
223,4
224,2
225,4
226,6
227,4
228,2
229,6
230,4
231,2
232,5
233,6
234,3
235,6
236,6
237,3
238,0
239,4
240,6
241,3
242,0
243,3
244,2
245,6
246,3
247,0
248,3
249,4
250,5
251,5
252,3
253,3
254,4
255,2
256,3
257,4
258,2
259,4
260,4
261,0
262,5
263,3
264,6
265,3
266,6
267,4
268,4
269,4
270,2
271,2
272,6
273,2
274,2
275,4
276,5
277,3
278,3
279,2
280,3
281,2
282,6
283,3
284,6
285,2
286,6
287,4
288,5
289,4
290,4
291,3
292,0
293,0
294,4
295,0
296,6
297,2
298,6
299,3
300,3
301,3
302,6
303,6
304,4
305,0
306,5
307,5
308,6
309,3
310,4
311,2
312,6
313,3
314,5
315,0
316,6
317,4
318,6
319,3
320,3
321,6
322,0
323,2
324,6
325,5
326,4
327,0
328,0
329,6
330,3
331,2
332,2
333,6
334,3
335,0
336,3
337,3
338,2
339,3
340,5
341,3
342,3
343,2
344,4
345,3
346,6
347,6
348,3
349,0
350,6
351,5
352,2
353,5
354,5
355,3
356,5
357,3
358,3
359,3
360,2
361,2
362,3
363,5
364,3
365,0
366,4
367,4
368,2
369,2
370,2
371,6
372,6
373,6
374,0
